date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
6/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,10,0.0732
7/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,15.75,0.1123
8/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,15.4,0.1119
9/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,16.25,0.1162
10/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,25.2,0.1835
11/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,29.25,0.2132
12/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,34.83,0.2486
1/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,38.12,0.2752
2/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,47.5,0.3447
3/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,35,0.2491
4/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,31,0.224
5/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,27.5,0.1987
6/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,38.67,0.2752
7/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,55.2,0.3973
8/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,66.79,0.4685
9/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,74.1,0.5411
10/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,55.62,0.3946
11/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,60.26,0.4286
12/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,78.16,0.5524
1/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,78.16,0.5643
2/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,79.86,0.568
4/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,32.43,0.229
5/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,31.95,0.2307
6/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,43.81,0.3094
10/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,42.88,0.3041
11/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,43.69,0.3076
4/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,39.67,0.2644
6/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,30.65,0.2043
7/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,30.65,0.2043
8/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,31.42,0.2084
9/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,31.84,0.2116
10/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,30.05,0.1997
11/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,28.97,0.1931
12/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,31.27,0.2085
1/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,30.71,0.2037
2/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,35.14,0.2342
3/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,39.6,0.2626
4/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,30.23,0.2002
5/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,27.8,0.1843
6/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,27.63,0.1841
8/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,34.6,0.211
10/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,40.85,0.2448
11/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,42.7,0.2594
12/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,45.7,0.2822
1/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,62.89,0.3799
2/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,50.25,0.3045
3/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,49.46,0.3009
4/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,41.09,0.2462
5/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,43.8,0.1759
6/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,64,0.2392
7/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,62.16,0.2271
8/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,67.65,0.2528
9/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,63.66,0.2195
10/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,58.05,0.1929
11/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,63.75,0.1992
12/15/2012,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,84.5,0.2557
1/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,92.06,0.2877
2/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,126.75,0.3473
3/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,175.53,0.4809
4/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,106.2,0.2723
5/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,81.98,0.2369
6/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,90.32,0.2718
7/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,115.62,0.3558
8/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,142.75,0.4461
9/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,129.8,0.3661
10/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,129.49,0.3648
12/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,161.9,0.3799
1/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,157.67,0.3583
2/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,126.7,0.2955
3/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,115.45,0.277
4/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,67.22,0.1746
6/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,74.52,0.1872
7/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,76.91,0.1998
8/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,77.49,0.2013
9/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,79.73,0.2071
10/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,76.28,0.1832
12/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,92.13,0.1957
2/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,100.56,0.2242
5/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,122.79,0.2854
6/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,135,0.316
7/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,133.34,0.2984
8/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,154.21,0.2866
9/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,149.75,0.2695
10/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,155.97,0.2839
11/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,169.4,0.2879
12/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,188.55,0.3051
1/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,227.12,0.3302
2/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,269.6,0.3648
3/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,258.87,0.3761
4/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,175.57,0.2596
5/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,194.95,0.2775
6/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,249.21,0.355
7/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,240.6,0.3412
8/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,238.38,0.3357
9/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,237.57,0.3335
10/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,237.84,0.3278
11/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,245.7,0.3449
12/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,241.15,0.3368
1/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,238.5,0.3271
2/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,212.48,0.2967
3/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,196.53,0.2744
4/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,159.38,0.2179
5/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,105.27,0.1467
6/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,96.67,0.1349
7/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,95.24,0.1306
8/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,101.58,0.1419
9/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,108.12,0.151
10/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,109.83,0.1502
11/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,105.75,0.1475
12/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,103.08,0.1445
1/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,118.27,0.1658
2/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,141.22,0.1976
3/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,121.71,0.1706
4/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,114.1,0.1559
5/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,115.58,0.1619
6/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,120.28,0.1686
7/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,132.41,0.1811
8/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,139.8,0.1959
9/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,142.62,0.1948
10/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,146.77,0.2041
11/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,155.6,0.216
12/15/2018,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,164.87,0.2236
1/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,202.39,0.2812
2/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,193.72,0.2691
3/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,217.66,0.3024
4/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,158.75,0.2196
4/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,159.74,0.221
5/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,144.42,0.1984
5/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,142.42,0.1956
6/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,166.67,0.2154
6/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,161.76,0.2091
7/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,206.87,0.2713
7/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,223.88,0.2936
8/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,236.74,0.3276
9/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,242.99,0.3287
10/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,255.34,0.3511
11/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,288.1,0.3958
12/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,300.79,0.4063
4/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,"actual,aggregate",Retail,MWK,178.34,0.2446
5/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize,KG,aggregate,Retail,MWK,240,0.3416
