year,month,date,rainfall,temp
2022,september,9/15/2022,2.5,26
2022,october,10/15/2022,3.4,25
2022,november,11/15/2022,67.5,22
2022,december,12/15/2022,349.6,30
2023,january,1/15/2023,314.5,25.4
2023,february,2/15/2023,241.2,27
2023,march,3/15/2023,672.9,22.2
2023,april,4/15/2023,80.5,25
2023,may,5/15/2023,0,19.3
2023,june,6/15/2023,0,21
2023,july,7/15/2023,0,21
2023,august,8/15/2023,0,17
2023,september,9/15/2023,0,26
2023,october,10/15/2023,38.3,25
2023,november,11/15/2023,45.2,22
2023,december,12/15/2023,200.3,27
2024,january,1/15/2024,331,25
2024,february,2/15/2024,233,24.3
2024,march,3/15/2024,512,21
2024,april,4/15/2024,393,24
2024,may,5/15/2024,18.8,17
2024,june,6/15/2024,16.6,16
