year,month,rainfall
2011,april,85.9
2011,may,1.1
2011,june,0.7
2011,july,8.2
2011,august,2
2011,september,0
2011,october,74
2011,november,0
2011,december,126.9
2012,january,349.4
2012,february,112.2
2012,march,204.8
2012,april,35.3
2012,may,3.5
2012,june,8
2012,july,0
2012,august,0.5
2012,september,0
2012,october,34.8
2012,november,14.7
2012,december,289.4
2013,january,296
2013,february,404.5
2013,march,198.7
2013,april,22.7
2013,may,7.5
2013,june,30.7
2013,july,5.1
2013,august,1.7
2013,september,3.7
2013,october,80.2
2013,november,57.4
2013,december,205.6
2014,january,260.8
2014,february,215.2
2014,march,36.8
2014,april,25
2014,may,15.5
2014,june,6.1
2014,july,24.9
2014,august,0
2014,september,7.9
2014,october,9.7
2014,november,1.2
2014,december,209.9
2015,january,886.9
2015,february,216.9
2015,march,89.5
2015,april,131.1
2015,may,0.7
2015,june,2.5
2015,july,0
2015,august,0
2015,september,2
2015,october,18.9
2015,november,39.7
2015,december,194.6
2016,january,201.2
2016,february,215.1
2016,march,105.5
2016,april,14.8
2016,may,6.1
2016,june,7.4
2016,july,25
2016,august,1.5
2016,september,0
2016,october,10.6
2016,november,146.4
2016,december,219.6
2017,january,209.3
2017,february,180.7
2017,march,131.4
2017,april,89.7
2017,may,5.6
2017,june,0.1
2017,july,1.5
2017,august,1.9
2017,september,0
2017,october,21.2
2017,november,114.4
2017,december,198.8
2018,january,115.8
2018,february,263.5
2018,march,78.6
2018,april,130.6
2018,may,11
2018,june,20
2018,july,270
2018,august,0
2018,september,7.9
2018,october,29.4
2018,november,127.8
2018,december,420.5
2019,january,415
2019,february,162.2
2019,march,369.1
2019,april,66.6
2019,may,16.4
2019,june,13.6
2019,july,8.5
2019,august,5
2019,september,3.7
2019,october,26.6
2019,november,124.6
2019,december,212.9
2020,january,532
2020,february,194.7
2020,march,27.1
2020,april,14.8
2020,may,11.8
2020,june,1.2
2020,july,21.7
2020,august,1.5
2020,september,0
2020,october,0
2020,november,68
2020,december,102.9
2021,january,290.7
2021,february,247.5
2021,march,102.3
2021,april,17.6
2021,may,4.9
2021,june,5.6
2021,july,17.7
2021,august,0.3
2021,september,0
2021,october,16.4
2021,november,52.1
2021,december,85.3
2022,january,573.7
2022,february,268.1
2022,march,216.6
2022,april,43.5
2022,may,0
2022,june,35.2
2022,july,0.9
2022,august,3.6
2022,september,2.5
2022,october,3.4
2022,november,67.5
2022,december,349.6
2023,january,314.5
2023,february,241.2
2023,march,672.9
2023,april,80.5
2023,may,0
2023,june,0
2023,july,0
2023,august,0
2023,september,0
2023,october,38.3
2023,november,45.2
2023,december,200.3
2024,january,331
2024,february,233
2024,march,512
2024,april,393
2024,may,18.8
2024,june,16.6

